epoch,from,address,tags,args,hex
1790401633.962,127.0.0.1:8000,/float-1,",f",[0.003447],2f666c6f61742d31000000002c6600003b61e43e
1790401633.984,127.0.0.1:8000,/float-1,",f",[0.003485],2f666c6f61742d31000000002c6600003b645fb8
1790401633.995,127.0.0.1:8000,/float-1,",f",[0.003523],2f666c6f61742d31000000002c6600003b66db31
1790401634.015,127.0.0.1:8000,/float-1,",f",[0.00356],2f666c6f61742d31000000002c6600003b6956ab
1790401634.036,127.0.0.1:8000,/float-1,",f",[0.003598],2f666c6f61742d31000000002c6600003b6bd225
1790401634.046,127.0.0.1:8000,/float-1,",f",[0.003636],2f666c6f61742d31000000002c6600003b6e4d9e
1790401634.068,127.0.0.1:8000,/float-1,",f",[0.003674],2f666c6f61742d31000000002c6600003b70c918
1790401634.078,127.0.0.1:8000,/float-1,",f",[0.003712],2f666c6f61742d31000000002c6600003b734491
1790401634.099,127.0.0.1:8000,/float-1,",f",[0.00375],2f666c6f61742d31000000002c6600003b75c00b
1790401634.120,127.0.0.1:8000,/float-1,",f",[0.003788],2f666c6f61742d31000000002c6600003b783b85
1790401634.131,127.0.0.1:8000,/float-1,",f",[0.003826],2f666c6f61742d31000000002c6600003b7ab6fe
1790401634.151,127.0.0.1:8000,/float-1,",f",[0.003863],2f666c6f61742d31000000002c6600003b7d3278
1790401634.161,127.0.0.1:8000,/float-1,",f",[0.003901],2f666c6f61742d31000000002c6600003b7fadf2
1790401634.182,127.0.0.1:8000,/float-1,",f",[0.003939],2f666c6f61742d31000000002c6600003b8114b6
1790401634.203,127.0.0.1:8000,/float-1,",f",[0.003977],2f666c6f61742d31000000002c6600003b825273
1790401634.214,127.0.0.1:8000,/float-1,",f",[0.004015],2f666c6f61742d31000000002c6600003b83902f
1790401634.234,127.0.0.1:8000,/float-1,",f",[0.004053],2f666c6f61742d31000000002c6600003b84cdec
1790401634.244,127.0.0.1:8000,/float-1,",f",[0.004091],2f666c6f61742d31000000002c6600003b860ba9
1790401634.266,127.0.0.1:8000,/float-1,",f",[0.004129],2f666c6f61742d31000000002c6600003b874966
1790401634.278,127.0.0.1:8000,/float-1,",f",[0.004167],2f666c6f61742d31000000002c6600003b888723
1790401634.299,127.0.0.1:8000,/float-1,",f",[0.004204],2f666c6f61742d31000000002c6600003b89c4df
1790401634.321,127.0.0.1:8000,/float-1,",f",[0.004242],2f666c6f61742d31000000002c6600003b8b029c
1790401634.331,127.0.0.1:8000,/float-1,",f",[0.00428],2f666c6f61742d31000000002c6600003b8c4059
1790401634.352,127.0.0.1:8000,/float-1,",f",[0.004318],2f666c6f61742d31000000002c6600003b8d7e16
1790401634.363,127.0.0.1:8000,/float-1,",f",[0.004356],2f666c6f61742d31000000002c6600003b8ebbd3
1790401634.385,127.0.0.1:8000,/float-1,",f",[0.004394],2f666c6f61742d31000000002c6600003b8ff990
1790401634.395,127.0.0.1:8000,/float-1,",f",[0.004432],2f666c6f61742d31000000002c6600003b91374c
1790401634.416,127.0.0.1:8000,/float-1,",f",[0.00447],2f666c6f61742d31000000002c6600003b927509
1790401634.427,127.0.0.1:8000,/float-1,",f",[0.004507],2f666c6f61742d31000000002c6600003b93b2c6
1790401634.449,127.0.0.1:8000,/float-1,",f",[0.004545],2f666c6f61742d31000000002c6600003b94f083
