epoch,from,address,tags,args,hex
1790401513.500,127.0.0.1:8000,/float-1,",f",[0.022385],2f666c6f61742d31000000002c6600003cb761bb
1790401513.521,127.0.0.1:8000,/float-1,",f",[0.022423],2f666c6f61742d31000000002c6600003cb7b12a
1790401513.542,127.0.0.1:8000,/float-1,",f",[0.022461],2f666c6f61742d31000000002c6600003cb80099
1790401513.552,127.0.0.1:8000,/float-1,",f",[0.022499],2f666c6f61742d31000000002c6600003cb85008
1790401513.574,127.0.0.1:8000,/float-1,",f",[0.022537],2f666c6f61742d31000000002c6600003cb89f78
1790401513.584,127.0.0.1:8000,/float-1,",f",[0.022575],2f666c6f61742d31000000002c6600003cb8eee7
1790401513.606,127.0.0.1:8000,/float-1,",f",[0.022613],2f666c6f61742d31000000002c6600003cb93e56
1790401513.616,127.0.0.1:8000,/float-1,",f",[0.022651],2f666c6f61742d31000000002c6600003cb98dc5
1790401513.637,127.0.0.1:8000,/float-1,",f",[0.022688],2f666c6f61742d31000000002c6600003cb9dd34
1790401513.659,127.0.0.1:8000,/float-1,",f",[0.022726],2f666c6f61742d31000000002c6600003cba2ca4
1790401513.669,127.0.0.1:8000,/float-1,",f",[0.022764],2f666c6f61742d31000000002c6600003cba7c13
1790401513.690,127.0.0.1:8000,/float-1,",f",[0.022802],2f666c6f61742d31000000002c6600003cbacb82
1790401513.700,127.0.0.1:8000,/float-1,",f",[0.02284],2f666c6f61742d31000000002c6600003cbb1af1
1790401513.721,127.0.0.1:8000,/float-1,",f",[0.022878],2f666c6f61742d31000000002c6600003cbb6a60
1790401513.741,127.0.0.1:8000,/float-1,",f",[0.022916],2f666c6f61742d31000000002c6600003cbbb9d0
1790401513.751,127.0.0.1:8000,/float-1,",f",[0.022954],2f666c6f61742d31000000002c6600003cbc093f
1790401513.772,127.0.0.1:8000,/float-1,",f",[0.022992],2f666c6f61742d31000000002c6600003cbc58ae
1790401513.783,127.0.0.1:8000,/float-1,",f",[0.023029],2f666c6f61742d31000000002c6600003cbca81d
1790401513.803,127.0.0.1:8000,/float-1,",f",[0.023067],2f666c6f61742d31000000002c6600003cbcf78c
1790401513.825,127.0.0.1:8000,/float-1,",f",[0.023105],2f666c6f61742d31000000002c6600003cbd46fc
1790401513.835,127.0.0.1:8000,/float-1,",f",[0.023143],2f666c6f61742d31000000002c6600003cbd966b
1790401513.856,127.0.0.1:8000,/float-1,",f",[0.023181],2f666c6f61742d31000000002c6600003cbde5da
1790401513.867,127.0.0.1:8000,/float-1,",f",[0.023219],2f666c6f61742d31000000002c6600003cbe3549
1790401513.887,127.0.0.1:8000,/float-1,",f",[0.023257],2f666c6f61742d31000000002c6600003cbe84b8
1790401513.908,127.0.0.1:8000,/float-1,",f",[0.023295],2f666c6f61742d31000000002c6600003cbed428
1790401513.918,127.0.0.1:8000,/float-1,",f",[0.023332],2f666c6f61742d31000000002c6600003cbf2397
1790401513.940,127.0.0.1:8000,/float-1,",f",[0.02337],2f666c6f61742d31000000002c6600003cbf7306
